POLE_ID,P_ALIAS,P_NAME,P_NAME_POR,P_NAME_EN,SID,ALIAS,NAME,NAME_POR,NAME_EN,ROUTE_NOS,lng,lat
975,M32_2,望廈總站,MONG HÁ / TERMINAL,MONG HÁ / TERMINAL,601,M32,望廈總站,MONG HÁ / TERMINAL,MONG HÁ / TERMINAL,MT3,113.55132636376638,22.2069799048782
977,M32_4,望廈總站,MONG HÁ / TERMINAL,MONG HÁ / TERMINAL,601,M32,望廈總站,MONG HÁ / TERMINAL,MONG HÁ / TERMINAL,27,113.55127894224161,22.206910829798556
981,T435_1,溜冰路/葡京人,RUA DA PATINAGEM/ LISBOETA,RUA DA PATINAGEM/ LISBOETA,602,T435,溜冰路/葡京人,RUA DA PATINAGEM/ LISBOETA,RUA DA PATINAGEM/ LISBOETA,"35,51,59,MT4,N5",113.5723350451448,22.141307549821786
982,T365_1,排角/銀河,PAI KOK / GALAXY,PAI KOK / GALAXY,523,T365,排角/銀河,PAI KOK / GALAXY,PAI KOK / GALAXY,"25B,30X,72,MT1,MT3",113.5551338682162,22.150578538945748
984,M137_2,內港客運碼頭,TERMINAL MARÍTIMO DE PASSAGEIROS DO PORTO INTERIOR,TERMINAL MARÍTIMO DE PASSAGEIROS DO PORTO INTERIOR,563,M137,內港客運碼頭,TERMINAL MARÍTIMO DE PASSAGEIROS DO PORTO INTERIOR,TERMINAL MARÍTIMO DE PASSAGEIROS DO PORTO INTERIOR,"1,11,21A,26,71S,MT4",113.53579726912788,22.194754511847844
985,M35_1,慕拉士馬路/望善樓,VENC. MORAIS/EDF. MONG SIN,VENC. MORAIS/EDF. MONG SIN,604,M35,慕拉士馬路/望善樓,VENC. MORAIS/EDF. MONG SIN,VENC. MORAIS/EDF. MONG SIN,"1A,28B,29,H2",113.55248519568612,22.206683043729967
986,M35_2,慕拉士馬路/望善樓,VENC. MORAIS/EDF. MONG SIN,VENC. MORAIS/EDF. MONG SIN,604,M35,慕拉士馬路/望善樓,VENC. MORAIS/EDF. MONG SIN,VENC. MORAIS/EDF. MONG SIN,"10,2,34,6A",113.55227639246586,22.20685318447498
987,M253_1,宋玉生廣場/建興龍,AL. DR. C. D’ASSUMPÇÃO / KIN HENG LONG,AL. DR. C. D’ASSUMPÇÃO / KIN HENG LONG,605,M253,宋玉生廣場/建興龍,AL. DR. C. D’ASSUMPÇÃO / KIN HENG LONG,AL. DR. C. D’ASSUMPÇÃO / KIN HENG LONG,"1A,23,50,N1A",113.55111543069978,22.189148702649376
134,M189_1,下環街市,MERCADO DE S. LOURENÇO,MERCADO DE S. LOURENÇO,134,M189,下環街市,MERCADO DE S. LOURENÇO,MERCADO DE S. LOURENÇO,"16,9",113.534525579953,22.191212463102474
988,M258_1,宋玉生廣場/東南亞,AL. DR. C. D’ASSUMPÇÃO / TONG NAM AH,AL. DR. C. D’ASSUMPÇÃO / TONG NAM AH,606,M258,宋玉生廣場/東南亞,AL. DR. C. D’ASSUMPÇÃO / TONG NAM AH,AL. DR. C. D’ASSUMPÇÃO / TONG NAM AH,"17,17S,3AX,60",113.5514030803559,22.188474976423947
