NETWORK_ID,ROUTE_NOS,lng,lat
5882,"28C,9,9A",,
5913,"18,23,32,9A,N2",,
5918,9,,
5920,9,,
5921,9,,
5927,"26,60,65",,
5931,"18B,21AT,26,60,65,6B,N2",,
6009,"18,23,32,60,65,9A",,
6012,"1,10,11,18,18B,2,21A,21AT,26,26AT,5,55,60,61,65,71S,MT4,N3",,
6021,"16,18,28B,9",,
6030,"18,28B",,
6031,"16,18,28B,9",,
6033,"16,9",,
6034,"16,9",,
6035,"16,9",,
6038,"16,16S,28B,6B,9",,
6039,"16S,28B,6B",,
6036,"16,9",,
6040,"9,9A",,
6048,"10,10B,22,25,25B,28B,3,5,6A,8,9,9A,N2",,
6053,"9,9A",,
6045,"9,9A",,
6057,"10,10B,22,25,25B,28B,3,5,6A,8,N2",,
6061,"1A,28B,7,H2",,
6067,"1,101,1A,28B,7,9,9A,H2,N1A",,
6068,"1,10,101,18,1A,28B,29,34,7,9,9A,H2,N1A",,
6065,"10,18,29,34",,
6089,"1A,23",,
6092,"1A,23",,
6095,"10,10B,1A,28A,28B,28C,29,3,32",,
6090,"3AX,50",,
6099,"17,17S,3AX,60",,
6105,"12,17,17S,3A,3AX,60,8",,
6103,"17,17S,3AX,60",,
6118,"12,19,2,22,30,34,6A,7",,
6122,"10B,17,18,18B,27,30,51A,7",,
6120,"10B,27",,
6126,"103,10B,17S,18,18B,27,2AS,3A,51A,7,73,AP1,N1A",,
6127,"103,17S,18,18B,27,3A,51A,7,AP1,N1A",,
6129,"10B,17,27,51A",,
6130,"17,51A",,
6124,"10B,27",,
6165,"102,11,21A,22,25,25AX,25B,26A,28A,33,35,37,39,50,50B,72,H3,MT1,MT5,N2,N3",,
6166,"102,21A,22,25,25AX,25B,26A,28A,33,35,50,50B,72,H3,MT1,N2,N3",,
6188,"35,MT5",,
6192,"102,21A,22,25,25AX,25B,26A,28A,33,35,50,50B,72,H3,MT1,N2,N3",,
6246,"11,15,22,28A,30,33,34",,
6247,"11,15,22,28A,30,33,34",,
6249,"11,15,22,28A,30,33,34",,
6252,"102,11,15,22,25B,26,26A,28A,30,33,34,35,37,72,MT1,MT3",,
6261,"H3,MT4,MT5,N5,N6",,
6263,"102,11,15,22,25B,26,26A,28A,30,30X,33,34,37,72,MT1,MT3,N2",,
6264,"102,11,15,22,25B,26,26A,28A,30,30X,33,34,37,72,MT1,MT3,N2",,
6267,"102,11,15,22,25B,26,26A,28A,30,30X,33,34,37,72,MT1,MT3,N2",,
6271,"102,21A,22,25,25AX,25B,26A,28A,33,36,50,50B,MT1,MT4,MT5,N2,N3,N5,N6",,
6340,"11,37",,
6338,"11,37,39,72",,
6344,"102,11,21A,22,25,25AX,25B,26A,28A,33,35,37,39,50,50B,72,H3,MT1,MT5,N2,N3",,
6379,"101XS,12,23,25AX,28A,29,2A,2AS,32,39,3A,3AX,3BX,3X,50,50B,6B,7,73,9,9A,MT1,MT2,MT5,N1A,N2",,
6393,"12,17,18,18B,22,23,25,25B,28C,56,5X",,
6395,"12,19,22,7",,
6390,"12,22",,
6398,"18,28C,56",,
6402,"12,18,18A,22,28C,56,8",,
6419,"11,15,26,34,36,71,MT2,MT4,N5",,
6425,"11,15,22,26,28A,30,30X,33,34,37,MT2,MT4,MT5,N5",,
6420,"11,15,22,26,28A,30,30X,33,34,37,MT2,MT4,MT5,N5",,
6484,"15,21A,25,25AX,25B,25BS,26,26A,26AT,51B,56,MT4,N3",,
6506,"15,21A,25,25AX,26A,26AT,51,51A,51B,56,59,H3,MT4,N3,N5",,
6527,25AX,,
6531,25AX,,
6536,"21A,25,26,26A,50,59,N3",,
6535,"21A,25,26,26A,50,59,N3",,
6558,"15T,21A",,
6559,"15T,21A",,
6569,"15T,21A",,
6574,"1,10,101,10B,17,17S,18,18B,25,27,28C,29,3,30,34,3A,3X,51A,9A,AP1,N1A",,
